Grass,  0,  0,  0,
Grass, -1,  0,  0,
Grass, -1,  0, -1,
Grass,  0,  0, -1,
Grass,  1,  0, -1,
Grass,  1,  0,  0,
Grass,  1,  0,  1,
Grass,  0,  0,  1,
Grass, -1,  0,  1,
Grass, -2,  0,  1,
Grass, -2,  0,  0,
Grass, -2,  0, -1,
Grass, -2,  0, -2,
Grass, -1,  0, -2,
Grass,  0,  0, -2,
Grass,  1,  0, -2,
Grass,  2,  0, -2,
Grass,  2,  0, -1,
Grass,  2,  0,  0,
Grass,  2,  0,  1,
Grass,  2,  0,  2,
Grass,  1,  0,  2,
Grass,  0,  0,  2,
Grass, -1,  0,  2,
Grass, -2,  0,  2,
Grass, -3,  0,  2,
Grass, -3,  0,  1,
Grass, -3,  0,  0,
Grass, -3,  0, -1,
Grass, -3,  0, -2,
Grass, -3,  0, -3,
Grass, -2,  0, -3,
Grass, -1,  0, -3,
Grass,  0,  0, -3,
Grass,  1,  0, -3,
Grass,  2,  0, -3,
Grass,  3,  0, -3,
Grass,  3,  0, -2,
Grass,  3,  0, -1,
Grass,  3,  0,  0,
Grass,  3,  0,  1,
Grass,  3,  0,  2,
Grass,  3,  0,  3,
Grass,  2,  0,  3,
Grass,  1,  0,  3,
Grass,  0,  0,  3,
Grass, -1,  0,  3,
Grass, -2,  0,  3,
Grass, -3,  0,  3,
